cat_id,cex_item_code,cpi_item_code,confidence,note
23,VEHPURCH,SETA02,medium,Used cars and trucks. Same net-outlay caveat.
24,GASFUEL,SETB,high,"Direct counterpart (motor fuel). Note the 2023 CEX definition change removed motor oil, see decisions_log D-05."
25,VEHOTHXP,SETA03,high,Leased cars and trucks.
25,VEHOTHXP,SETA04,high,Car and truck rental.
25,VEHOTHXP,SETC,high,Motor vehicle parts and equipment.
25,VEHOTHXP,SETD,high,Motor vehicle maintenance and repair.
25,VEHOTHXP,SETE,high,Motor vehicle insurance.
25,VEHOTHXP,SETF,high,"Motor vehicle fees: registration, licences, inspection, tolls."
26,PUBTRANS,SETG,high,"Direct counterpart: airline, bus, rail, transit, taxi, ship fares."
27,HLTHINSR,SEME,low,"LARGEST CONCEPT MISMATCH AFTER SHELTER. CEX reports household out-of-pocket premiums (4.5 to 4.9 pct of spending); CPI health insurance captures only retained earnings and carries a relative importance of about 0.6 pct. The two measure different things. Do not treat this weight as comparable."
28,MEDSERVS,SEMC,high,"Professional services: physician, dental, eyecare, other practitioners."
28,MEDSERVS,SEMD,high,Hospital and related services including nursing homes.
29,DRUGS,SEMF,high,"Medicinal drugs (prescription, nonprescription, vitamins)."
30,MEDSUPPL,SEMG,high,Medical equipment and supplies.
31,FEESADM,SERF,high,"Direct counterpart: SERF01 club memberships, SERF02 admissions, SERF03 fees for lessons."
32,TVAUDIO,SERA,high,"Video and audio, including cable/satellite/streaming service and equipment."
32,TVAUDIO,SERE03,high,"Music instruments and accessories, which CEX files under audio and visual (610130)."
33,PETSPLAY,SERB,high,"Pets, pet products and services."
33,PETSPLAY,SERE01,high,"Toys, matching CEX TOYS (toys, hobbies, and playground equipment)."
34,ENTEROTH,SERC,high,"Sporting goods: SERC01 sports vehicles including bicycles and motorized recreational vehicles, SERC02 sports equipment."
34,ENTEROTH,SERD,high,"Photography: equipment, supplies, processing."
35,PERSCARE,SEGB,high,Personal care products.
35,PERSCARE,SEGC,high,Personal care services.
36,READING,SERG,high,"Recreational reading materials: newspapers, magazines, books."
37,EDUCATN,SEEA,high,Educational books and supplies.
37,EDUCATN,SEEB01,high,College tuition and fees.
37,EDUCATN,SEEB02,high,Elementary and high school tuition and fees.
37,EDUCATN,SEEB04,high,Technical and vocational school tuition and fixed fees.
38,TOBACCO,SEGA,high,Direct counterpart (tobacco and smoking products).
39,MISC,SEGD01,medium,Legal services.
39,MISC,SEGD02,medium,Funeral expenses.
39,MISC,SEGD05,medium,"Financial services: bank charges, accounting, tax preparation."
39,MISC,SEGE,medium,Miscellaneous personal goods.
40,CASHCONT,,unmapped,"OUT OF SCOPE. Gifts, alimony, child support, charity are transfers, not consumption by the giving household."
41,INSPENSN,,unmapped,"OUT OF SCOPE. Social Security contributions, pensions, life insurance are saving."
